Κωδικός;Όνομα;Είδη - Λιανική Τιμή;1η Μ.Μ.;Κλάση Φ.Π.Α.
Τ180;ΤΑΦ INOX 135ο Φ180 ART;50,592;TEMAXIA;Κανονικός
ΣΤ80;ΣΤΗΡ. INOX ΤΟΙΧΟΥ Φ80 ΑΠΛΟ CE;12,276;TEMAXIA;Κανονικός
ΡΟ200;ΡΟΖΕΤΑ INOX Φ200  CE;24,924;TEMAXIA;Κανονικός
ΟΕΧ-4LE;ΚΑΥΣΤΗΡΑΣ OEX 4LE;657,2;TEMAXIA;Κανονικός
ΜΑΝ-GE2.1;ΚΑΥΣΤΗΡΑΣ MAN GE2.1 N-1000  (77.400-137.600 kcal);2542;TEMAXIA;Κανονικός
ΜΑΝ-DE 2.1;ΚΑΥΣΤΗΡΑΣ ΜΑΝ DE 2.1-2010;917,6;TEMAXIA;Κανονικός
ΜΑΝ DZ 2.2-2220;ΚΑΥΣΤΗΡΑΣ MAN DZ 2.3-2320 (249.400-270.900 kcal);2039,8;TEMAXIA;Κανονικός
ΜΑΝ 1.1VΗ-761;ΚΑΥΣΤΗΡΑΣ MAN DE 1.1VH-0761 (13.330-25.800 kcal);1271;TEMAXIA;Κανονικός
ΛΕΒ CALDO 40;ΛΕΒΗΤΑΣ CALDO 40 KCAL;390,7564;TEMAXIA;Κανονικός
Λ-STEAM 45;ΛEBHTAΣ STEAM 45.000 KCAL;292,9748;TEMAXIA;Κανονικός
Λ-SIME 4;ΛΕΒΗΤΑΣ SIME AR 4;462,5944;TEMAXIA;Κανονικός
Λ-800 SIGME;ΛΕΒΗΤΑΣ SIGME 800 SOULIS;661,6764;TEMAXIA;Κανονικός
Λ-300 SIGME;ΛΕΒΗΤΑΣ SIGME 300 SOULIS;401,1772;TEMAXIA;Κανονικός
Λ-1300 SIGME;ΛΕΒΗΤΑΣ SIGME 1300 SOULIS;953,436;TEMAXIA;Κανονικός
Λ-1200 SIGME;ΛΕΒΗΤΑΣ SIGME 1200 SOULIS;880,4992;TEMAXIA;Κανονικός
ΚΟΜΕΟ-UVC;ΑΝΤΑΛ.ΛΑΜΠΑ ΓΙΑ ΚΟΜΕΟ UVC;44,64;TEMAXIA;Κανονικός
ΚΟΜΕΟ-KDF;ΑΝΤΑΛ.ΦΙΛΤΡΟ ΓΙΑ ΚΟΜΕΟ KDF;44,64;TEMAXIA;Κανονικός
ΚΟΜΕΟ-BIRM;ΑΝΤΑΛ.ΦΙΛΤΡΟ ΓΙΑ ΚΟΜΕΟ BIRM;28,52;TEMAXIA;Κανονικός
ΚΟΜΕΟ;ΚΕΝΤΡΙΚΗ ΜΟΝΑΔΑ ΕΠΕΞ.ΝΕΡΟΥ ΚΟΜΕΟ COMAP;1370;TEMAXIA;Κανονικός
ΚΙΤ-NORDSTAR;ΚΙΤ ΣΥΝΔΕΣΗΣ NORDSTAR;16,368;TEMAXIA;Κανονικός
ΚΑΠ120;ΚΑΠΕΛΟ INOX Φ120 ΑΝΤΙΑΝΕΜΙΚΟ;42,904;TEMAXIA;Κανονικός
ΚΑΝ-2529333002;ΣΩΛ.20Χ2,8 Χ 6mm ULTRA PRESS PERTAL ΓΚΡΙ 39172190;2,7404;ΜΕΤΡΑ;Κανονικός
ΚΑΝ-2529333001;ΣΩΛ.16Χ2,0 Χ 6mm ULTRA PRESS PERTAL ΓΚΡΙ 39172190;1,9183;ΜΕΤΡΑ;Κανονικός
ΚΑΝ-2529198002;ΣΩΛΗΝΑ 20X2.8  PERT ULTRALINE 100m 39172190;3,224;Μέτρα;Κανονικός
ΚΑΝ-2529198001;ΣΩΛΗΝΑ16Χ2,2 PERT ULTRALINE 39172190;2,108;ΜΕΤΡΑ;Κανονικός
ΚΑΝ-2529195001;ΣΩΛ.16Χ2,2 PERT ULTRALINE ΜΕ ΓΚΡΙ ΜΟΝΩΣΗ 39172190;2,108;ΜΕΤΡΑ;Κανονικός
ΚΑΝ-2510105004;"ΣΥΝΔΕΣΜΟΣ ΘΗΛ.ULTRALINE-20 G1/2"" 74122000";6,4158;TEMAXIA;Κανονικός
ΚΑΝ-2510105002;"ΣΥΝΔΕΣΜΟΣ ΘΗΛ.ULTRALINE-16 G1/2"" 74122000";5,3196;TEMAXIA;Κανονικός
ΚΑΝ-2509335002;PVDF ΚΥΛΙΟΜΕΝΟ ΜΑΝΙΚΙ ULTRALINE-20 39174000;0,806;TEMAXIA;Κανονικός
ΚΑΝ-2509335001;PVDF ΚΥΛΙΟΜΕΝΟ ΜΑΝΙΚΙ ULTRALINE-16 39174000;0,7415;TEMAXIA;Κανονικός
ΚΑΝ-2509302002;ΓΩΝΙΑ 90ο ULTRALINE-20 74122000;3,5786;TEMAXIA;Κανονικός
ΚΑΝ-2509302001;ΓΩΝΙΑ 90ο ULTRALINE-16 74122000;2,6598;TEMAXIA;Κανονικός
ΚΑΝ-2509286011;"ΓΩΝΙΑ ΘΗΛ.ΜΕ ΣΤΗΡ.ULTRALINE-20 Rp1/2""78mm 74122000";9,3657;TEMAXIA;Κανονικός
ΚΑΝ-2509286010;"ΓΩΝΙΑ ΘΗΛ.ΜΕ ΣΤΗΡ.ULTRALINE-20 Rp1/2""41mm 74122000";5,6098;TEMAXIA;Κανονικός
ΚΑΝ-2509286008;"ΓΩΝΙΑ ΘΗΛ.ΜΕ ΣΤΗΡ.ULTRALINE-16 Rp1/2""78mm 74122000";8,9788;TEMAXIA;Κανονικός
